Baringo,
Bomet,
Bungoma,8.2 billion
Busia,
Elgeyo Marakwet,3.2billion
Embu,3.7 billion
Garissa,
Homa Bay,
Isiolo,2.9 billion
Kajiado,
Kakamega,8.7 billion
Kericho,
Kiambu,7.3 billion
Kilifi,7.3 billion
Kirinyaga,3.4 billion
Kisii,
Kisumu,
Kitui,7.0 billion
Kwale,
Laikipia,3.4 billion
Lamu,2 billion
Machakos,
Makueni,
Mandera,8.7 billion
Marsabit,
Meru,
Migori,
Mombasa,
murang'a,
nairobi,12.7 billion
Nakuru,7.9 billion
Nandi,
Narok,
Nyamira,
Nyandarua,
Nyeri,
Samburu,
Siaya,
taita taveta,3.2billion
Tana River,3.9billion
tharaka nithi,3.1billion
Trans Nzoia,
Turkana,10.2 billion
Uasin Gishu,
Vihiga,3.8 billion
Wajir,7.0 billion
West Pokot,
